id;activity_name;activity_description;activity_duration;activity_utility;activity_reqs_id;activity_created_by;activity_creation_date;activity_modified_by;activity_modified_date
1;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;49161;80691;47347;Shoes systems;2019-11-10;Personal Loan Account;2019-11-10
2;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389;64241;94425;COM;2019-11-10;multi-byte Jamaican Dollar North Carolina;2019-11-10
3;haptic parsing;revolutionize Branding;90535;20668;19579;Intelligent Wooden Shirt;2019-11-10;Generic;2019-11-10
4;Handcrafted Plastic Shirt quantifying;wireless;26069;28185;49603;Solomon Islands Dollar;2019-11-10;Accountability Handmade Cotton Bacon;2019-11-09
5;China;quantify multi-byte;99050;73164;41261;incentivize;2019-11-10;user-centric Infrastructure;2019-11-10
6;bandwidth;application Configurable iterate;53432;50525;49656;monetize superstructure Fantastic;2019-11-10;Interactions;2019-11-10
7;granular;Quality Applications Missouri;63183;8328;44844;methodical;2019-11-10;Danish Krone parse;2019-11-10
8;back-end Unbranded Cambridgeshire;Designer;5587;44153;73703;Guam bandwidth Liaison;2019-11-10;generating SDD bypassing;2019-11-10
9;Centralized revolutionize International;Sleek;8483;23322;98663;exploit transition;2019-11-10;Interactions;2019-11-09
10;navigate repurpose;Buckinghamshire;37798;55840;70508;Triple-buffered array;2019-11-10;Advanced grow;2019-11-10
